from,to,weight,edge_type,title
Chapter 6::Male youths::peer_care_solidarity,Chapter 6::Male youths::principle_purpose_orientation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::temporal_disruption,Chapter 6::Male youths::principle_purpose_orientation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::routine_internalisation,Chapter 6::Male youths::principle_purpose_orientation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::endurance_conditioning,Chapter 6::Male youths::principle_purpose_orientation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::reframing_as_training,Chapter 6::Male youths::principle_purpose_orientation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::practical_competence,Chapter 6::Male youths::principle_purpose_orientation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::positive_transformation,Chapter 6::Male youths::principle_purpose_orientation,5,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 5</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::dangerous_becoming,Chapter 6::Male youths::principle_purpose_orientation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::identity_continuity_resistance,Chapter 6::Male youths::principle_purpose_orientation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::kin_motivation,Chapter 6::Male youths::principle_purpose_orientation,3,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 3</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::discipline_boundary_judgement,Chapter 6::Male youths::alternative_oppositional_future,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::identity_continuity_resistance,Chapter 6::Male youths::alternative_oppositional_future,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::peer_care_solidarity,Chapter 6::Male youths::hope_resilience,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::endurance_conditioning,Chapter 6::Male youths::hope_resilience,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::principle_purpose_orientation,Chapter 6::Male youths::hope_resilience,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::discipline_boundary_judgement,Chapter 6::Female youths::bodily_harm_danger,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::verbal_degradation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::racialised_degradation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::verbal_degradation,Chapter 6::Female youths::racialised_degradation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
