from,to,weight,edge_type,title
Chapter 4::School leaders::operational_reliability_risk,Chapter 4::School leaders::non_negotiable_army_order,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::conformity_without_assent,Chapter 4::School leaders::moral_neutral_discipline,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::self_discipline_personal_rule,Chapter 4::School leaders::moral_neutral_discipline,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::widened_life_governance,Chapter 4::School leaders::personal_responsibility_moralisation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::prior_socialisation_mismatch,Chapter 4::School leaders::prior_home_values,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::widened_life_governance,Chapter 4::School leaders::prior_home_values,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::conformity_without_assent,Chapter 4::School leaders::context_observation_variability,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::self_discipline_personal_rule,Chapter 4::School leaders::context_observation_variability,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::moral_neutral_discipline,Chapter 4::School leaders::context_observation_variability,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::strategic_display_persona,Chapter 4::School leaders::surveillance_visibility,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::repetition_habit_memory,Chapter 4::School leaders::visible_signs_legibility,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::surveillance_visibility,Chapter 4::School leaders::consequence_managed_compliance,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::visible_signs_legibility,Chapter 4::School leaders::consequence_managed_compliance,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::strategic_display_persona,Chapter 4::School leaders::eye_service_appearance_gap,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::standard_uncertainty_modelling,Chapter 4::School leaders::eye_service_appearance_gap,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::eye_service_appearance_gap,Chapter 4::School leaders::unwatched_durability_test,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::strategic_display_persona,Chapter 4::School leaders::durability_after_control,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::surveillance_visibility,Chapter 4::School leaders::durability_after_control,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::trust_credibility,Chapter 4::School leaders::public_reputation_expectation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::School leaders::visible_signs_legibility,Chapter 4::School leaders::public_reputation_expectation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 4<br><b>Group:</b> School leaders<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 4::Instructors::authority_legitimacy_intent,Chapter 4::School leaders::authority_legitimacy_intent,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> authority legitimacy intent</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::authority_maintenance,Chapter 4::School leaders::authority_maintenance,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> authority maintenance</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::context_observation_variability,Chapter 4::School leaders::context_observation_variability,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> context observation variability</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::eye_service_appearance_gap,Chapter 4::School leaders::eye_service_appearance_gap,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> eye service appearance gap</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::hierarchy_authority,Chapter 4::School leaders::hierarchy_authority,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> hierarchy authority</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::moral_neutral_discipline,Chapter 4::School leaders::moral_neutral_discipline,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> moral neutral discipline</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::non_negotiable_army_order,Chapter 4::School leaders::non_negotiable_army_order,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> non negotiable army order</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::obedience_threshold,Chapter 4::School leaders::obedience_threshold,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> obedience threshold</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::personal_responsibility_moralisation,Chapter 4::School leaders::personal_responsibility_moralisation,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> personal responsibility moralisation</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::prior_home_values,Chapter 4::School leaders::prior_home_values,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> prior home values</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::prior_socialisation_mismatch,Chapter 4::School leaders::prior_socialisation_mismatch,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> prior socialisation mismatch</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::public_reputation_expectation,Chapter 4::School leaders::public_reputation_expectation,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> public reputation expectation</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::punishment_enforcement,Chapter 4::School leaders::punishment_enforcement,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> punishment enforcement</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::repetition_habit_memory,Chapter 4::School leaders::repetition_habit_memory,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> repetition habit memory</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::self_regulation_autonomy,Chapter 4::School leaders::self_regulation_autonomy,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> self regulation autonomy</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::trust_credibility,Chapter 4::School leaders::trust_credibility,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> trust credibility</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::unwatched_durability_test,Chapter 4::School leaders::unwatched_durability_test,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> unwatched durability test</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::visible_signs_legibility,Chapter 4::School leaders::visible_signs_legibility,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> visible signs legibility</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
Chapter 4::Instructors::widened_life_governance,Chapter 4::School leaders::widened_life_governance,0.9,Shared-code bridge,"<div style='max-width:450px'><h3>Shared-code bridge</h3><p><b>Chapter:</b> Chapter 4<br><b>Code:</b> widened life governance</p><p>This dashed edge links the same code across the two comparison groups.</p><p><b>Left group:</b> Instructors<br><b>Right group:</b> School leaders</p><p><i>This is a comparison bridge, not an empirical co-occurrence edge across groups.</i></p></div>"
